"Year,Month_Name,State,Vehicle_Category,EV_Sales_Quantity,Date_parsed"
"2014,Jan,Jammu And Kashmir,Others,0,2014-01-01"
"2014,Jan,Jammu And Kashmir,Bus,0,2014-01-01"
"2014,Jan,Jammu And Kashmir,Others,1,2014-01-01"
"2014,Jan,Jammu And Kashmir,2-Wheelers,0,2014-01-01"
"2014,Jan,Jammu And Kashmir,4-Wheelers,0,2014-01-01"
"2014,Jan,Jammu And Kashmir,3-Wheelers,0,2014-01-01"
"2014,Jan,Manipur,Others,0,2014-01-01"
"2014,Jan,Manipur,Bus,0,2014-01-01"
"2014,Jan,Manipur,2-Wheelers,0,2014-01-01"
"2014,Jan,Manipur,4-Wheelers,0,2014-01-01"
"2014,Jan,Manipur,3-Wheelers,0,2014-01-01"
"2015,Jan,Andhra Pradesh,Others,0,2015-01-01"
"2015,Jan,Andhra Pradesh,Bus,0,2015-01-01"
"2015,Jan,Andhra Pradesh,2-Wheelers,1,2015-01-01"
"2015,Jan,Andhra Pradesh,2-Wheelers,0,2015-01-01"
"2015,Jan,Andhra Pradesh,4-Wheelers,0,2015-01-01"
"2015,Jan,Andhra Pradesh,3-Wheelers,0,2015-01-01"
"2015,Jan,Arunachal Pradesh,Others,0,2015-01-01"
"2015,Jan,Arunachal Pradesh,Bus,0,2015-01-01"
"2015,Jan,Arunachal Pradesh,2-Wheelers,0,2015-01-01"
"2015,Jan,Arunachal Pradesh,4-Wheelers,0,2015-01-01"
"2015,Jan,Arunachal Pradesh,3-Wheelers,0,2015-01-01"
"2015,Jan,Assam,Others,0,2015-01-01"
"2015,Jan,Assam,Bus,0,2015-01-01"
"2015,Jan,Assam,2-Wheelers,0,2015-01-01"
"2015,Jan,Assam,4-Wheelers,0,2015-01-01"
"2015,Jan,Assam,3-Wheelers,0,2015-01-01"
"2015,Jan,Assam,Others,2,2015-01-01"
"2015,Jan,Andaman & Nicobar Island,Bus,0,2015-01-01"
"2015,Jan,Andaman & Nicobar Island,Others,0,2015-01-01"
"2015,Jan,Andaman & Nicobar Island,2-Wheelers,0,2015-01-01"
"2015,Jan,Andaman & Nicobar Island,4-Wheelers,0,2015-01-01"
"2015,Jan,Andaman & Nicobar Island,3-Wheelers,0,2015-01-01"
"2015,Jan,Bihar,Others,0,2015-01-01"
"2015,Jan,Bihar,Bus,0,2015-01-01"
"2015,Jan,Bihar,2-Wheelers,0,2015-01-01"
"2015,Jan,Bihar,4-Wheelers,0,2015-01-01"
"2015,Jan,Bihar,3-Wheelers,0,2015-01-01"
"2015,Jan,Chhattisgarh,Others,0,2015-01-01"
"2015,Jan,Chhattisgarh,Bus,0,2015-01-01"
"2015,Jan,Chhattisgarh,2-Wheelers,6,2015-01-01"
"2015,Jan,Chhattisgarh,2-Wheelers,0,2015-01-01"
"2015,Jan,Chhattisgarh,4-Wheelers,0,2015-01-01"
"2015,Jan,Chhattisgarh,3-Wheelers,0,2015-01-01"
"2015,Jan,Chandigarh,Others,0,2015-01-01"
"2015,Jan,Chandigarh,Bus,0,2015-01-01"
"2015,Jan,Chandigarh,2-Wheelers,0,2015-01-01"
"2015,Jan,Chandigarh,4-Wheelers,0,2015-01-01"
"2015,Jan,Chandigarh,3-Wheelers,0,2015-01-01"
"2015,Jan,Dnh And Dd,Others,0,2015-01-01"
"2015,Jan,Dnh And Dd,Bus,0,2015-01-01"
"2015,Jan,Dnh And Dd,2-Wheelers,0,2015-01-01"
"2015,Jan,Dnh And Dd,4-Wheelers,0,2015-01-01"
"2015,Jan,Dnh And Dd,3-Wheelers,0,2015-01-01"
"2015,Jan,Delhi,Others,1,2015-01-01"
"2015,Jan,Delhi,Others,0,2015-01-01"
"2015,Jan,Delhi,Bus,0,2015-01-01"
"2015,Jan,Delhi,4-Wheelers,0,2015-01-01"
"2015,Jan,Delhi,2-Wheelers,2,2015-01-01"
"2015,Jan,Delhi,2-Wheelers,0,2015-01-01"
"2015,Jan,Delhi,4-Wheelers,3,2015-01-01"
"2015,Jan,Delhi,3-Wheelers,0,2015-01-01"
"2015,Jan,Goa,Others,0,2015-01-01"
"2015,Jan,Goa,Bus,0,2015-01-01"
"2015,Jan,Goa,2-Wheelers,1,2015-01-01"
